snr,	Pd
-30.000000,	0.000750
-29.900000,	0.000000
-29.800000,	0.000000
-29.700000,	0.000125
-29.600000,	0.000250
-29.500000,	0.000250
-29.400000,	0.000125
-29.300000,	0.000250
-29.200000,	0.000250
-29.100000,	0.000125
-29.000000,	0.000000
-28.900000,	0.000500
-28.800000,	0.000000
-28.700000,	0.000000
-28.600000,	0.000125
-28.500000,	0.000375
-28.400000,	0.000000
-28.300000,	0.000375
-28.200000,	0.000125
-28.100000,	0.000375
-28.000000,	0.000250
-27.900000,	0.000250
-27.800000,	0.000125
-27.700000,	0.000375
-27.600000,	0.000875
-27.500000,	0.000250
-27.400000,	0.000375
-27.300000,	0.000625
-27.200000,	0.000625
-27.100000,	0.000125
-27.000000,	0.000250
-26.900000,	0.000500
-26.800000,	0.000500
-26.700000,	0.000625
-26.600000,	0.000125
-26.500000,	0.000500
-26.400000,	0.000250
-26.300000,	0.000250
-26.200000,	0.000250
-26.100000,	0.000375
-26.000000,	0.000500
-25.900000,	0.001125
-25.800000,	0.000250
-25.700000,	0.000625
-25.600000,	0.000250
-25.500000,	0.000375
-25.400000,	0.000250
-25.300000,	0.000500
-25.200000,	0.000625
-25.100000,	0.000250
-25.000000,	0.000125
-24.900000,	0.000500
-24.800000,	0.000625
-24.700000,	0.000125
-24.600000,	0.000500
-24.500000,	0.000500
-24.400000,	0.000750
-24.300000,	0.001000
-24.200000,	0.000500
-24.100000,	0.000750
-24.000000,	0.000625
-23.900000,	0.000375
-23.800000,	0.001000
-23.700000,	0.001250
-23.600000,	0.000875
-23.500000,	0.001125
-23.400000,	0.000375
-23.300000,	0.000750
-23.200000,	0.001250
-23.100000,	0.001625
-23.000000,	0.001500
-22.900000,	0.000875
-22.800000,	0.001375
-22.700000,	0.000750
-22.600000,	0.001500
-22.500000,	0.001375
-22.400000,	0.002000
-22.300000,	0.002000
-22.200000,	0.003250
-22.100000,	0.001750
-22.000000,	0.001750
-21.900000,	0.002375
-21.800000,	0.002500
-21.700000,	0.002375
-21.600000,	0.002375
-21.500000,	0.002625
-21.400000,	0.003000
-21.300000,	0.003250
-21.200000,	0.002875
-21.100000,	0.003000
-21.000000,	0.004625
-20.900000,	0.003250
-20.800000,	0.005125
-20.700000,	0.003875
-20.600000,	0.005125
-20.500000,	0.004625
-20.400000,	0.005625
-20.300000,	0.006875
-20.200000,	0.005875
-20.100000,	0.007750
-20.000000,	0.006500
-19.900000,	0.007125
-19.800000,	0.005875
-19.700000,	0.009250
-19.600000,	0.009500
-19.500000,	0.009500
-19.400000,	0.010750
-19.300000,	0.010875
-19.200000,	0.013875
-19.100000,	0.013500
-19.000000,	0.014250
-18.900000,	0.014250
-18.800000,	0.018000
-18.700000,	0.019375
-18.600000,	0.019500
-18.500000,	0.019375
-18.400000,	0.022500
-18.300000,	0.022125
-18.200000,	0.027625
-18.100000,	0.029625
-18.000000,	0.028000
-17.900000,	0.029500
