snr,	Pd
-30.000000,	0.002250
-29.900000,	0.001750
-29.800000,	0.001875
-29.700000,	0.002500
-29.600000,	0.003000
-29.500000,	0.002500
-29.400000,	0.001750
-29.300000,	0.003875
-29.200000,	0.002750
-29.100000,	0.002500
-29.000000,	0.002250
-28.900000,	0.001500
-28.800000,	0.002125
-28.700000,	0.001875
-28.600000,	0.002500
-28.500000,	0.002125
-28.400000,	0.002125
-28.300000,	0.002875
-28.200000,	0.002500
-28.100000,	0.001125
-28.000000,	0.002000
-27.900000,	0.001750
-27.800000,	0.001875
-27.700000,	0.002125
-27.600000,	0.002750
-27.500000,	0.002125
-27.400000,	0.003375
-27.300000,	0.002250
-27.200000,	0.002250
-27.100000,	0.002875
-27.000000,	0.002500
-26.900000,	0.002625
-26.800000,	0.002375
-26.700000,	0.002750
-26.600000,	0.002500
-26.500000,	0.002375
-26.400000,	0.001875
-26.300000,	0.002875
-26.200000,	0.002250
-26.100000,	0.002750
-26.000000,	0.002250
-25.900000,	0.001625
-25.800000,	0.002000
-25.700000,	0.002250
-25.600000,	0.002000
-25.500000,	0.002250
-25.400000,	0.003250
-25.300000,	0.002375
-25.200000,	0.001875
-25.100000,	0.002125
-25.000000,	0.002875
-24.900000,	0.003125
-24.800000,	0.002750
-24.700000,	0.002250
-24.600000,	0.001750
-24.500000,	0.003500
-24.400000,	0.002250
-24.300000,	0.002500
-24.200000,	0.001750
-24.100000,	0.002125
-24.000000,	0.002750
-23.900000,	0.002375
-23.800000,	0.002500
-23.700000,	0.002125
-23.600000,	0.002500
-23.500000,	0.003125
-23.400000,	0.002000
-23.300000,	0.002875
-23.200000,	0.003500
-23.100000,	0.003500
-23.000000,	0.002750
-22.900000,	0.002375
-22.800000,	0.002500
-22.700000,	0.002000
-22.600000,	0.003125
-22.500000,	0.002125
-22.400000,	0.003375
-22.300000,	0.002250
-22.200000,	0.002125
-22.100000,	0.002750
-22.000000,	0.003250
-21.900000,	0.001875
-21.800000,	0.003125
-21.700000,	0.002500
-21.600000,	0.002875
-21.500000,	0.003125
-21.400000,	0.001875
-21.300000,	0.002250
-21.200000,	0.001875
-21.100000,	0.002125
-21.000000,	0.002250
-20.900000,	0.003500
-20.800000,	0.002625
-20.700000,	0.002000
-20.600000,	0.003750
-20.500000,	0.003250
-20.400000,	0.003000
-20.300000,	0.002250
-20.200000,	0.002500
-20.100000,	0.002625
-20.000000,	0.002375
-19.900000,	0.002125
-19.800000,	0.003250
-19.700000,	0.003000
-19.600000,	0.003000
-19.500000,	0.001625
-19.400000,	0.002625
-19.300000,	0.003500
-19.200000,	0.002125
-19.100000,	0.003125
-19.000000,	0.001625
-18.900000,	0.003125
-18.800000,	0.003250
-18.700000,	0.001875
-18.600000,	0.002875
-18.500000,	0.002750
-18.400000,	0.002375
-18.300000,	0.001875
-18.200000,	0.002125
-18.100000,	0.002875
-18.000000,	0.002000
-17.900000,	0.004250
-17.800000,	0.002000
-17.700000,	0.002375
-17.600000,	0.003250
-17.500000,	0.002375
-17.400000,	0.002875
-17.300000,	0.001750
-17.200000,	0.001500
-17.100000,	0.003125
-17.000000,	0.002000
-16.900000,	0.003250
-16.800000,	0.002250
-16.700000,	0.002500
-16.600000,	0.002000
-16.500000,	0.002500
-16.400000,	0.004000
-16.300000,	0.002750
-16.200000,	0.003500
-16.100000,	0.002625
-16.000000,	0.002250
-15.900000,	0.002625
-15.800000,	0.002625
-15.700000,	0.002875
-15.600000,	0.002125
-15.500000,	0.002625
-15.400000,	0.002500
-15.300000,	0.002750
-15.200000,	0.002375
-15.100000,	0.002750
-15.000000,	0.002750
-14.900000,	0.001875
-14.800000,	0.002125
-14.700000,	0.002750
-14.600000,	0.001625
-14.500000,	0.002000
-14.400000,	0.002000
-14.300000,	0.002375
-14.200000,	0.002750
-14.100000,	0.002750
-14.000000,	0.003000
-13.900000,	0.002250
-13.800000,	0.002625
-13.700000,	0.003125
-13.600000,	0.003375
-13.500000,	0.002500
-13.400000,	0.003875
-13.300000,	0.002500
-13.200000,	0.002250
-13.100000,	0.002625
-13.000000,	0.001750
-12.900000,	0.003750
-12.800000,	0.002250
-12.700000,	0.002750
-12.600000,	0.002000
-12.500000,	0.002125
-12.400000,	0.001500
-12.300000,	0.002125
-12.200000,	0.003000
-12.100000,	0.002625
-12.000000,	0.001750
-11.900000,	0.003750
-11.800000,	0.002375
-11.700000,	0.003000
-11.600000,	0.002250
-11.500000,	0.002875
-11.400000,	0.002500
-11.300000,	0.001625
-11.200000,	0.002875
-11.100000,	0.002625
-11.000000,	0.003125
-10.900000,	0.003125
-10.800000,	0.002500
-10.700000,	0.002000
-10.600000,	0.002750
-10.500000,	0.002625
-10.400000,	0.002750
-10.300000,	0.002000
-10.200000,	0.002125
-10.100000,	0.002875
-10.000000,	0.002000
-9.900000,	0.002625
-9.800000,	0.002125
-9.700000,	0.002250
-9.600000,	0.002750
-9.500000,	0.002625
-9.400000,	0.003625
-9.300000,	0.001625
