dbW,	Pfa
-30.000000,	0.000090
-29.900000,	0.000148
-29.800000,	0.000105
-29.700000,	0.000113
-29.600000,	0.000086
-29.500000,	0.000086
-29.400000,	0.000102
-29.300000,	0.000094
-29.200000,	0.000117
-29.100000,	0.000063
-29.000000,	0.000102
-28.900000,	0.000125
-28.800000,	0.000117
-28.700000,	0.000059
-28.600000,	0.000121
-28.500000,	0.000098
-28.400000,	0.000078
-28.300000,	0.000105
-28.200000,	0.000102
-28.100000,	0.000117
-28.000000,	0.000090
-27.900000,	0.000109
-27.800000,	0.000121
-27.700000,	0.000078
-27.600000,	0.000086
-27.500000,	0.000105
-27.400000,	0.000090
-27.300000,	0.000117
-27.200000,	0.000105
-27.100000,	0.000133
-27.000000,	0.000102
-26.900000,	0.000125
-26.800000,	0.000113
-26.700000,	0.000125
-26.600000,	0.000102
-26.500000,	0.000113
-26.400000,	0.000086
-26.300000,	0.000078
-26.200000,	0.000105
-26.100000,	0.000090
-26.000000,	0.000133
-25.900000,	0.000109
-25.800000,	0.000098
-25.700000,	0.000094
-25.600000,	0.000129
-25.500000,	0.000070
-25.400000,	0.000113
-25.300000,	0.000102
-25.200000,	0.000090
-25.100000,	0.000090
-25.000000,	0.000105
-24.900000,	0.000105
-24.800000,	0.000074
-24.700000,	0.000094
-24.600000,	0.000105
-24.500000,	0.000129
-24.400000,	0.000086
-24.300000,	0.000129
-24.200000,	0.000113
-24.100000,	0.000105
-24.000000,	0.000051
-23.900000,	0.000109
-23.800000,	0.000102
-23.700000,	0.000113
-23.600000,	0.000145
-23.500000,	0.000137
-23.400000,	0.000102
-23.300000,	0.000141
-23.200000,	0.000090
-23.100000,	0.000105
-23.000000,	0.000137
-22.900000,	0.000090
-22.800000,	0.000109
-22.700000,	0.000109
-22.600000,	0.000129
-22.500000,	0.000113
-22.400000,	0.000117
-22.300000,	0.000102
-22.200000,	0.000125
-22.100000,	0.000082
-22.000000,	0.000082
-21.900000,	0.000121
-21.800000,	0.000086
-21.700000,	0.000074
-21.600000,	0.000121
-21.500000,	0.000074
-21.400000,	0.000105
-21.300000,	0.000113
-21.200000,	0.000102
-21.100000,	0.000113
-21.000000,	0.000078
-20.900000,	0.000090
-20.800000,	0.000070
-20.700000,	0.000125
-20.600000,	0.000090
-20.500000,	0.000117
-20.400000,	0.000082
-20.300000,	0.000082
-20.200000,	0.000109
-20.100000,	0.000129
-20.000000,	0.000117
-19.900000,	0.000102
-19.800000,	0.000102
-19.700000,	0.000074
-19.600000,	0.000113
-19.500000,	0.000105
-19.400000,	0.000133
-19.300000,	0.000102
-19.200000,	0.000105
-19.100000,	0.000109
-19.000000,	0.000109
-18.900000,	0.000145
-18.800000,	0.000094
-18.700000,	0.000051
-18.600000,	0.000063
-18.500000,	0.000133
-18.400000,	0.000148
-18.300000,	0.000078
-18.200000,	0.000098
-18.100000,	0.000094
-18.000000,	0.000117
-17.900000,	0.000105
-17.800000,	0.000063
-17.700000,	0.000086
-17.600000,	0.000109
-17.500000,	0.000105
-17.400000,	0.000152
-17.300000,	0.000117
-17.200000,	0.000125
-17.100000,	0.000117
-17.000000,	0.000094
-16.900000,	0.000098
-16.800000,	0.000082
-16.700000,	0.000086
-16.600000,	0.000086
-16.500000,	0.000129
-16.400000,	0.000094
-16.300000,	0.000094
-16.200000,	0.000121
-16.100000,	0.000125
-16.000000,	0.000078
-15.900000,	0.000137
-15.800000,	0.000094
-15.700000,	0.000090
-15.600000,	0.000102
-15.500000,	0.000086
-15.400000,	0.000145
-15.300000,	0.000090
-15.200000,	0.000090
-15.100000,	0.000109
-15.000000,	0.000070
-14.900000,	0.000133
-14.800000,	0.000121
-14.700000,	0.000094
-14.600000,	0.000109
-14.500000,	0.000102
-14.400000,	0.000105
-14.300000,	0.000102
-14.200000,	0.000090
-14.100000,	0.000070
-14.000000,	0.000113
-13.900000,	0.000078
-13.800000,	0.000078
-13.700000,	0.000082
-13.600000,	0.000141
-13.500000,	0.000109
-13.400000,	0.000113
-13.300000,	0.000133
-13.200000,	0.000094
-13.100000,	0.000109
-13.000000,	0.000102
-12.900000,	0.000094
-12.800000,	0.000094
-12.700000,	0.000094
-12.600000,	0.000129
-12.500000,	0.000125
-12.400000,	0.000090
-12.300000,	0.000113
-12.200000,	0.000066
-12.100000,	0.000129
-12.000000,	0.000109
-11.900000,	0.000082
-11.800000,	0.000125
-11.700000,	0.000094
-11.600000,	0.000145
-11.500000,	0.000098
-11.400000,	0.000098
-11.300000,	0.000105
-11.200000,	0.000102
-11.100000,	0.000105
-11.000000,	0.000109
-10.900000,	0.000098
-10.800000,	0.000098
-10.700000,	0.000109
-10.600000,	0.000094
-10.500000,	0.000066
-10.400000,	0.000078
-10.300000,	0.000102
-10.200000,	0.000121
-10.100000,	0.000113
-10.000000,	0.000063
-9.900000,	0.000113
-9.800000,	0.000105
-9.700000,	0.000113
-9.600000,	0.000051
-9.500000,	0.000078
-9.400000,	0.000090
-9.300000,	0.000121
-9.200000,	0.000160
-9.100000,	0.000113
-9.000000,	0.000094
-8.900000,	0.000074
-8.800000,	0.000094
-8.700000,	0.000070
-8.600000,	0.000105
-8.500000,	0.000094
-8.400000,	0.000113
-8.300000,	0.000133
-8.200000,	0.000125
-8.100000,	0.000117
-8.000000,	0.000094
-7.900000,	0.000113
-7.800000,	0.000102
-7.700000,	0.000125
-7.600000,	0.000117
-7.500000,	0.000102
-7.400000,	0.000117
-7.300000,	0.000113
-7.200000,	0.000117
-7.100000,	0.000094
-7.000000,	0.000125
-6.900000,	0.000113
-6.800000,	0.000086
-6.700000,	0.000105
-6.600000,	0.000090
-6.500000,	0.000086
-6.400000,	0.000082
-6.300000,	0.000098
-6.200000,	0.000121
-6.100000,	0.000129
-6.000000,	0.000094
-5.900000,	0.000105
-5.800000,	0.000133
-5.700000,	0.000090
-5.600000,	0.000094
-5.500000,	0.000141
-5.400000,	0.000094
-5.300000,	0.000066
-5.200000,	0.000117
-5.100000,	0.000113
-5.000000,	0.000102
-4.900000,	0.000105
-4.800000,	0.000117
-4.700000,	0.000098
-4.600000,	0.000109
-4.500000,	0.000090
-4.400000,	0.000105
-4.300000,	0.000086
-4.200000,	0.000090
-4.100000,	0.000121
-4.000000,	0.000074
-3.900000,	0.000121
-3.800000,	0.000113
-3.700000,	0.000133
-3.600000,	0.000109
-3.500000,	0.000102
-3.400000,	0.000098
-3.300000,	0.000125
-3.200000,	0.000129
-3.100000,	0.000109
-3.000000,	0.000094
-2.900000,	0.000094
-2.800000,	0.000102
-2.700000,	0.000133
-2.600000,	0.000117
-2.500000,	0.000121
-2.400000,	0.000109
-2.300000,	0.000082
-2.200000,	0.000098
-2.100000,	0.000074
-2.000000,	0.000109
-1.900000,	0.000133
-1.800000,	0.000113
-1.700000,	0.000086
-1.600000,	0.000074
-1.500000,	0.000125
-1.400000,	0.000078
-1.300000,	0.000090
-1.200000,	0.000098
-1.100000,	0.000125
-1.000000,	0.000090
-0.900000,	0.000113
-0.800000,	0.000070
-0.700000,	0.000105
-0.600000,	0.000113
-0.500000,	0.000113
-0.400000,	0.000102
-0.300000,	0.000094
-0.200000,	0.000113
-0.100000,	0.000086
0.000000,	0.000117
0.100000,	0.000074
0.200000,	0.000102
0.300000,	0.000094
0.400000,	0.000109
0.500000,	0.000094
0.600000,	0.000086
0.700000,	0.000090
0.800000,	0.000121
0.900000,	0.000109
1.000000,	0.000109
1.100000,	0.000125
1.200000,	0.000094
1.300000,	0.000090
1.400000,	0.000090
1.500000,	0.000098
1.600000,	0.000105
1.700000,	0.000102
1.800000,	0.000098
1.900000,	0.000105
2.000000,	0.000105
2.100000,	0.000094
2.200000,	0.000086
2.300000,	0.000113
2.400000,	0.000055
2.500000,	0.000082
2.600000,	0.000098
2.700000,	0.000094
2.800000,	0.000102
2.900000,	0.000156
3.000000,	0.000102
3.100000,	0.000129
3.200000,	0.000105
3.300000,	0.000102
3.400000,	0.000074
3.500000,	0.000121
3.600000,	0.000094
3.700000,	0.000109
3.800000,	0.000133
3.900000,	0.000117
4.000000,	0.000105
4.100000,	0.000070
4.200000,	0.000113
4.300000,	0.000121
4.400000,	0.000098
4.500000,	0.000078
4.600000,	0.000105
4.700000,	0.000086
4.800000,	0.000117
4.900000,	0.000105
5.000000,	0.000102
5.100000,	0.000102
5.200000,	0.000086
5.300000,	0.000090
5.400000,	0.000105
5.500000,	0.000125
5.600000,	0.000098
5.700000,	0.000113
5.800000,	0.000078
5.900000,	0.000098
6.000000,	0.000121
6.100000,	0.000074
6.200000,	0.000086
6.300000,	0.000094
6.400000,	0.000117
6.500000,	0.000098
6.600000,	0.000090
6.700000,	0.000074
6.800000,	0.000094
6.900000,	0.000094
7.000000,	0.000105
7.100000,	0.000066
7.200000,	0.000102
7.300000,	0.000117
7.400000,	0.000117
7.500000,	0.000121
7.600000,	0.000105
7.700000,	0.000098
7.800000,	0.000121
7.900000,	0.000105
8.000000,	0.000148
8.100000,	0.000113
8.200000,	0.000094
8.300000,	0.000109
8.400000,	0.000070
8.500000,	0.000109
8.600000,	0.000125
8.700000,	0.000082
8.800000,	0.000102
8.900000,	0.000133
9.000000,	0.000102
9.100000,	0.000098
9.200000,	0.000078
9.300000,	0.000105
9.400000,	0.000102
9.500000,	0.000070
9.600000,	0.000090
9.700000,	0.000133
9.800000,	0.000102
9.900000,	0.000117
10.000000,	0.000105
10.100000,	0.000086
10.200000,	0.000113
10.300000,	0.000098
10.400000,	0.000090
10.500000,	0.000133
10.600000,	0.000121
10.700000,	0.000113
10.800000,	0.000082
10.900000,	0.000105
11.000000,	0.000102
11.100000,	0.000105
11.200000,	0.000109
11.300000,	0.000129
11.400000,	0.000117
11.500000,	0.000102
11.600000,	0.000102
11.700000,	0.000102
11.800000,	0.000117
11.900000,	0.000105
12.000000,	0.000121
12.100000,	0.000117
12.200000,	0.000070
12.300000,	0.000090
12.400000,	0.000105
12.500000,	0.000090
12.600000,	0.000098
12.700000,	0.000059
12.800000,	0.000121
12.900000,	0.000117
13.000000,	0.000133
13.100000,	0.000102
13.200000,	0.000094
13.300000,	0.000070
13.400000,	0.000121
13.500000,	0.000117
13.600000,	0.000098
13.700000,	0.000082
13.800000,	0.000047
13.900000,	0.000109
14.000000,	0.000105
14.100000,	0.000113
14.200000,	0.000086
14.300000,	0.000078
14.400000,	0.000090
14.500000,	0.000090
14.600000,	0.000078
14.700000,	0.000098
14.800000,	0.000066
14.900000,	0.000070
15.000000,	0.000105
15.100000,	0.000164
15.200000,	0.000105
15.300000,	0.000070
15.400000,	0.000086
15.500000,	0.000094
15.600000,	0.000152
15.700000,	0.000125
