dbW,	Pfa
-30.000000,	0.000125
-29.900000,	0.000109
-29.800000,	0.000086
-29.700000,	0.000125
-29.600000,	0.000125
-29.500000,	0.000031
-29.400000,	0.000055
-29.300000,	0.000094
-29.200000,	0.000156
-29.100000,	0.000086
-29.000000,	0.000109
-28.900000,	0.000078
-28.800000,	0.000102
-28.700000,	0.000070
-28.600000,	0.000117
-28.500000,	0.000063
-28.400000,	0.000117
-28.300000,	0.000125
-28.200000,	0.000148
-28.100000,	0.000102
-28.000000,	0.000125
-27.900000,	0.000109
-27.800000,	0.000094
-27.700000,	0.000109
-27.600000,	0.000117
-27.500000,	0.000094
-27.400000,	0.000102
-27.300000,	0.000070
-27.200000,	0.000125
-27.100000,	0.000117
-27.000000,	0.000070
-26.900000,	0.000109
-26.800000,	0.000086
-26.700000,	0.000133
-26.600000,	0.000094
-26.500000,	0.000109
-26.400000,	0.000102
-26.300000,	0.000070
-26.200000,	0.000086
-26.100000,	0.000125
-26.000000,	0.000109
-25.900000,	0.000141
-25.800000,	0.000055
-25.700000,	0.000078
-25.600000,	0.000141
-25.500000,	0.000141
-25.400000,	0.000125
-25.300000,	0.000031
-25.200000,	0.000133
-25.100000,	0.000141
-25.000000,	0.000109
-24.900000,	0.000055
-24.800000,	0.000078
-24.700000,	0.000125
-24.600000,	0.000117
-24.500000,	0.000102
-24.400000,	0.000094
-24.300000,	0.000070
-24.200000,	0.000102
-24.100000,	0.000063
-24.000000,	0.000148
-23.900000,	0.000094
-23.800000,	0.000109
-23.700000,	0.000141
-23.600000,	0.000109
-23.500000,	0.000094
-23.400000,	0.000094
-23.300000,	0.000070
-23.200000,	0.000133
-23.100000,	0.000078
-23.000000,	0.000078
-22.900000,	0.000078
-22.800000,	0.000086
-22.700000,	0.000117
-22.600000,	0.000094
-22.500000,	0.000070
-22.400000,	0.000047
-22.300000,	0.000141
-22.200000,	0.000094
-22.100000,	0.000117
-22.000000,	0.000117
-21.900000,	0.000102
-21.800000,	0.000148
-21.700000,	0.000063
-21.600000,	0.000063
-21.500000,	0.000078
-21.400000,	0.000078
-21.300000,	0.000109
-21.200000,	0.000102
-21.100000,	0.000188
-21.000000,	0.000094
-20.900000,	0.000070
-20.800000,	0.000125
-20.700000,	0.000063
-20.600000,	0.000180
-20.500000,	0.000180
-20.400000,	0.000133
-20.300000,	0.000086
-20.200000,	0.000102
-20.100000,	0.000133
-20.000000,	0.000125
-19.900000,	0.000094
-19.800000,	0.000070
-19.700000,	0.000125
-19.600000,	0.000125
-19.500000,	0.000148
-19.400000,	0.000070
-19.300000,	0.000070
-19.200000,	0.000094
-19.100000,	0.000094
-19.000000,	0.000055
-18.900000,	0.000172
-18.800000,	0.000109
-18.700000,	0.000219
-18.600000,	0.000078
-18.500000,	0.000070
-18.400000,	0.000109
-18.300000,	0.000078
-18.200000,	0.000109
-18.100000,	0.000094
-18.000000,	0.000141
-17.900000,	0.000102
-17.800000,	0.000086
-17.700000,	0.000055
-17.600000,	0.000055
-17.500000,	0.000109
-17.400000,	0.000070
-17.300000,	0.000141
-17.200000,	0.000094
-17.100000,	0.000117
-17.000000,	0.000148
-16.900000,	0.000133
-16.800000,	0.000133
-16.700000,	0.000102
-16.600000,	0.000070
-16.500000,	0.000109
-16.400000,	0.000109
-16.300000,	0.000078
-16.200000,	0.000109
-16.100000,	0.000086
-16.000000,	0.000094
-15.900000,	0.000109
-15.800000,	0.000109
-15.700000,	0.000086
-15.600000,	0.000117
-15.500000,	0.000125
-15.400000,	0.000133
-15.300000,	0.000156
-15.200000,	0.000117
-15.100000,	0.000133
-15.000000,	0.000148
-14.900000,	0.000094
-14.800000,	0.000094
-14.700000,	0.000094
-14.600000,	0.000117
-14.500000,	0.000070
-14.400000,	0.000109
-14.300000,	0.000078
-14.200000,	0.000078
-14.100000,	0.000047
-14.000000,	0.000094
-13.900000,	0.000086
-13.800000,	0.000172
-13.700000,	0.000094
-13.600000,	0.000070
-13.500000,	0.000102
-13.400000,	0.000125
-13.300000,	0.000063
-13.200000,	0.000125
-13.100000,	0.000094
-13.000000,	0.000109
-12.900000,	0.000195
-12.800000,	0.000117
-12.700000,	0.000156
-12.600000,	0.000102
-12.500000,	0.000102
-12.400000,	0.000094
-12.300000,	0.000117
-12.200000,	0.000141
-12.100000,	0.000086
-12.000000,	0.000063
-11.900000,	0.000055
-11.800000,	0.000078
-11.700000,	0.000117
-11.600000,	0.000188
-11.500000,	0.000117
-11.400000,	0.000078
-11.300000,	0.000125
-11.200000,	0.000125
-11.100000,	0.000063
-11.000000,	0.000086
-10.900000,	0.000094
-10.800000,	0.000063
-10.700000,	0.000148
-10.600000,	0.000109
-10.500000,	0.000086
-10.400000,	0.000125
-10.300000,	0.000117
-10.200000,	0.000094
-10.100000,	0.000086
-10.000000,	0.000078
-9.900000,	0.000078
-9.800000,	0.000102
-9.700000,	0.000070
-9.600000,	0.000109
-9.500000,	0.000094
-9.400000,	0.000141
-9.300000,	0.000086
-9.200000,	0.000094
-9.100000,	0.000117
-9.000000,	0.000109
-8.900000,	0.000109
-8.800000,	0.000078
-8.700000,	0.000109
-8.600000,	0.000125
-8.500000,	0.000133
-8.400000,	0.000102
-8.300000,	0.000086
-8.200000,	0.000094
-8.100000,	0.000086
-8.000000,	0.000141
-7.900000,	0.000109
-7.800000,	0.000070
-7.700000,	0.000133
-7.600000,	0.000125
-7.500000,	0.000102
-7.400000,	0.000086
-7.300000,	0.000125
-7.200000,	0.000117
-7.100000,	0.000078
-7.000000,	0.000148
-6.900000,	0.000117
-6.800000,	0.000086
-6.700000,	0.000063
-6.600000,	0.000086
-6.500000,	0.000109
-6.400000,	0.000086
-6.300000,	0.000070
-6.200000,	0.000133
-6.100000,	0.000172
-6.000000,	0.000180
-5.900000,	0.000094
-5.800000,	0.000109
-5.700000,	0.000141
-5.600000,	0.000086
-5.500000,	0.000102
-5.400000,	0.000141
-5.300000,	0.000117
-5.200000,	0.000102
-5.100000,	0.000047
-5.000000,	0.000094
-4.900000,	0.000063
-4.800000,	0.000086
-4.700000,	0.000094
-4.600000,	0.000117
-4.500000,	0.000141
-4.400000,	0.000070
-4.300000,	0.000078
-4.200000,	0.000094
-4.100000,	0.000086
-4.000000,	0.000078
-3.900000,	0.000086
-3.800000,	0.000078
-3.700000,	0.000094
-3.600000,	0.000094
-3.500000,	0.000141
-3.400000,	0.000172
-3.300000,	0.000094
-3.200000,	0.000141
-3.100000,	0.000086
-3.000000,	0.000117
-2.900000,	0.000086
-2.800000,	0.000070
-2.700000,	0.000102
-2.600000,	0.000047
-2.500000,	0.000094
-2.400000,	0.000109
-2.300000,	0.000102
-2.200000,	0.000070
-2.100000,	0.000078
-2.000000,	0.000078
-1.900000,	0.000078
-1.800000,	0.000070
-1.700000,	0.000102
-1.600000,	0.000109
-1.500000,	0.000109
-1.400000,	0.000164
-1.300000,	0.000094
-1.200000,	0.000125
-1.100000,	0.000109
-1.000000,	0.000133
-0.900000,	0.000094
-0.800000,	0.000102
-0.700000,	0.000141
-0.600000,	0.000094
-0.500000,	0.000070
-0.400000,	0.000070
-0.300000,	0.000133
-0.200000,	0.000086
-0.100000,	0.000125
0.000000,	0.000063
0.100000,	0.000070
0.200000,	0.000109
0.300000,	0.000078
0.400000,	0.000078
0.500000,	0.000133
0.600000,	0.000141
0.700000,	0.000078
0.800000,	0.000086
0.900000,	0.000078
1.000000,	0.000156
1.100000,	0.000141
1.200000,	0.000063
1.300000,	0.000094
1.400000,	0.000117
1.500000,	0.000094
1.600000,	0.000039
1.700000,	0.000109
1.800000,	0.000133
1.900000,	0.000055
2.000000,	0.000141
2.100000,	0.000148
2.200000,	0.000109
2.300000,	0.000125
2.400000,	0.000109
2.500000,	0.000094
2.600000,	0.000086
2.700000,	0.000125
2.800000,	0.000055
2.900000,	0.000070
3.000000,	0.000109
3.100000,	0.000070
3.200000,	0.000094
3.300000,	0.000102
3.400000,	0.000070
3.500000,	0.000039
3.600000,	0.000070
3.700000,	0.000070
3.800000,	0.000117
3.900000,	0.000109
4.000000,	0.000094
4.100000,	0.000109
4.200000,	0.000133
4.300000,	0.000117
4.400000,	0.000141
4.500000,	0.000133
4.600000,	0.000094
4.700000,	0.000094
4.800000,	0.000094
4.900000,	0.000078
5.000000,	0.000086
5.100000,	0.000070
5.200000,	0.000102
5.300000,	0.000117
5.400000,	0.000102
5.500000,	0.000109
5.600000,	0.000078
5.700000,	0.000078
5.800000,	0.000102
5.900000,	0.000063
6.000000,	0.000109
6.100000,	0.000086
6.200000,	0.000102
6.300000,	0.000117
6.400000,	0.000102
6.500000,	0.000117
6.600000,	0.000125
6.700000,	0.000094
6.800000,	0.000125
6.900000,	0.000102
7.000000,	0.000078
7.100000,	0.000070
7.200000,	0.000102
7.300000,	0.000164
7.400000,	0.000125
7.500000,	0.000141
7.600000,	0.000117
7.700000,	0.000141
7.800000,	0.000094
7.900000,	0.000125
8.000000,	0.000117
8.100000,	0.000094
8.200000,	0.000086
8.300000,	0.000133
8.400000,	0.000047
8.500000,	0.000125
8.600000,	0.000109
8.700000,	0.000094
8.800000,	0.000117
8.900000,	0.000141
9.000000,	0.000172
9.100000,	0.000094
9.200000,	0.000055
9.300000,	0.000102
9.400000,	0.000125
9.500000,	0.000125
9.600000,	0.000094
9.700000,	0.000086
9.800000,	0.000125
9.900000,	0.000109
10.000000,	0.000094
10.100000,	0.000109
10.200000,	0.000148
10.300000,	0.000094
10.400000,	0.000133
10.500000,	0.000094
10.600000,	0.000148
10.700000,	0.000086
10.800000,	0.000141
10.900000,	0.000141
11.000000,	0.000086
11.100000,	0.000117
11.200000,	0.000094
11.300000,	0.000070
11.400000,	0.000094
11.500000,	0.000086
11.600000,	0.000125
11.700000,	0.000070
11.800000,	0.000148
11.900000,	0.000133
12.000000,	0.000094
12.100000,	0.000078
12.200000,	0.000063
12.300000,	0.000086
12.400000,	0.000078
12.500000,	0.000164
12.600000,	0.000070
12.700000,	0.000078
12.800000,	0.000141
12.900000,	0.000086
13.000000,	0.000109
13.100000,	0.000141
13.200000,	0.000102
13.300000,	0.000109
13.400000,	0.000102
13.500000,	0.000133
13.600000,	0.000148
13.700000,	0.000109
13.800000,	0.000094
13.900000,	0.000078
14.000000,	0.000109
14.100000,	0.000125
14.200000,	0.000109
14.300000,	0.000102
14.400000,	0.000164
14.500000,	0.000086
14.600000,	0.000109
14.700000,	0.000063
14.800000,	0.000094
14.900000,	0.000094
15.000000,	0.000117
15.100000,	0.000094
15.200000,	0.000094
15.300000,	0.000094
15.400000,	0.000125
15.500000,	0.000125
15.600000,	0.000125
15.700000,	0.000063
15.800000,	0.000094
15.900000,	0.000078
16.000000,	0.000086
16.100000,	0.000047
16.200000,	0.000117
16.300000,	0.000102
16.400000,	0.000070
16.500000,	0.000102
16.600000,	0.000141
16.700000,	0.000117
16.800000,	0.000078
16.900000,	0.000133
17.000000,	0.000133
17.100000,	0.000094
17.200000,	0.000148
17.300000,	0.000109
17.400000,	0.000141
17.500000,	0.000102
17.600000,	0.000141
17.700000,	0.000133
17.800000,	0.000125
17.900000,	0.000078
18.000000,	0.000086
18.100000,	0.000117
18.200000,	0.000086
18.300000,	0.000102
18.400000,	0.000094
18.500000,	0.000078
18.600000,	0.000109
18.700000,	0.000047
18.800000,	0.000102
18.900000,	0.000102
19.000000,	0.000063
19.100000,	0.000102
19.200000,	0.000070
19.300000,	0.000078
19.400000,	0.000109
19.500000,	0.000078
19.600000,	0.000102
19.700000,	0.000125
19.800000,	0.000086
19.900000,	0.000086
20.000000,	0.000117
20.100000,	0.000125
20.200000,	0.000117
20.300000,	0.000078
20.400000,	0.000102
20.500000,	0.000094
20.600000,	0.000141
20.700000,	0.000070
20.800000,	0.000070
20.900000,	0.000094
21.000000,	0.000070
21.100000,	0.000133
21.200000,	0.000141
21.300000,	0.000063
21.400000,	0.000164
21.500000,	0.000086
21.600000,	0.000094
21.700000,	0.000078
21.800000,	0.000125
21.900000,	0.000063
22.000000,	0.000109
22.100000,	0.000102
22.200000,	0.000125
22.300000,	0.000117
22.400000,	0.000063
22.500000,	0.000109
22.600000,	0.000086
22.700000,	0.000125
22.800000,	0.000148
22.900000,	0.000125
23.000000,	0.000125
23.100000,	0.000094
23.200000,	0.000055
23.300000,	0.000148
23.400000,	0.000078
23.500000,	0.000070
23.600000,	0.000109
23.700000,	0.000109
23.800000,	0.000086
23.900000,	0.000141
24.000000,	0.000109
24.100000,	0.000078
24.200000,	0.000117
24.300000,	0.000125
24.400000,	0.000125
24.500000,	0.000133
24.600000,	0.000102
24.700000,	0.000047
24.800000,	0.000078
24.900000,	0.000117
25.000000,	0.000102
25.100000,	0.000086
25.200000,	0.000078
25.300000,	0.000125
25.400000,	0.000078
25.500000,	0.000063
25.600000,	0.000156
25.700000,	0.000086
25.800000,	0.000117
25.900000,	0.000141
26.000000,	0.000102
26.100000,	0.000086
26.200000,	0.000078
26.300000,	0.000078
26.400000,	0.000094
